flight_id,flight_number,origin,destination,tail_number,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,distance_km,status,delay_minutes,delay_reason
33,BF1033,FLN,NAT,PR-BFY04,2026-04-01T14:20,2026-04-01T17:57,2026-04-01T14:20,2026-04-01T17:54,2800,COMPLETED,107,weather
34,BF1034,MAO,GYN,PR-BFY11,2026-02-14T12:13,2026-02-14T14:38,2026-02-14T12:13,2026-02-14T14:45,2000,COMPLETED,0,none
35,BF1035,BEL,NVT,PR-BFY15,2025-08-17T03:30,2025-08-17T07:42,2025-08-17T04:41,2025-08-17T08:55,3500,COMPLETED,71,weather
36,BF1036,POA,NVT,PR-BFY12,2026-05-04T04:36,2026-05-04T05:27,2026-05-04T04:36,2026-05-04T05:26,500,COMPLETED,0,none
37,BF1037,GRU,REC,PR-BFY05,2025-08-16T03:07,2025-08-16T05:21,2025-08-16T03:07,2025-08-16T05:19,1800,COMPLETED,0,none
38,BF1038,POA,CGR,PR-BFY16,2026-02-05T19:31,2026-02-05T21:12,2026-02-05T19:31,2026-02-05T21:18,1300,COMPLETED,0,none
39,BF1039,GIG,SSA,PR-BFY01,2026-04-26T11:05,2026-04-26T13:20,2026-04-26T11:05,2026-04-26T13:18,1800,COMPLETED,26,weather
40,BF1040,BVB,CWB,PR-BFY17,2025-08-19T15:15,2025-08-19T19:48,2025-08-19T15:15,2025-08-19T19:50,3500,COMPLETED,0,none
41,BF1041,CNF,NAT,PR-BFY13,2025-09-25T14:34,2025-09-25T16:49,2025-09-25T14:34,2025-09-25T16:51,1800,COMPLETED,0,none
42,BF1042,MCZ,CNF,PR-BFY15,2025-10-14T17:20,2025-10-14T19:45,2025-10-14T17:20,2025-10-14T19:46,1800,COMPLETED,0,none
43,BF1043,NAT,NVT,PR-BFY19,2026-03-11T03:23,2026-03-11T06:43,2026-03-11T03:23,2026-03-11T06:40,2800,COMPLETED,0,none
44,BF1044,GIG,MCP,PR-BFY17,2025-10-15T03:21,2025-10-15T06:52,2025-10-15T05:33,2025-10-15T09:14,2800,COMPLETED,132,operational
45,BF1045,MCZ,CWB,PR-BFY15,2026-03-10T23:57,2026-03-11T03:36,2026-03-10T23:57,2026-03-11T03:42,2800,COMPLETED,0,none
46,BF1046,JPA,CNF,PR-BFY11,2026-01-03T14:13,2026-01-03T16:47,2026-01-03T14:13,2026-01-03T16:46,1800,COMPLETED,0,none
47,BF1047,GIG,CGB,PR-BFY05,2026-01-09T08:54,2026-01-09T09:54,2026-01-09T12:06,2026-01-09T13:13,900,COMPLETED,192,atc
48,BF1048,NAT,FLN,PR-BFY18,2026-04-05T01:08,2026-04-05T04:33,2026-04-05T01:08,2026-04-05T04:33,2800,COMPLETED,0,none
49,BF1049,CNF,REC,PR-BFY01,2025-12-28T07:45,2025-12-28T09:54,2025-12-28T11:35,2025-12-28T13:40,1800,COMPLETED,230,atc
50,BF1050,SSA,SDU,PR-BFY14,2025-10-21T02:07,2025-10-21T04:38,2025-10-21T02:07,2025-10-21T04:48,1800,COMPLETED,0,none
51,BF1051,AJU,SSA,PR-BFY19,2026-03-30T15:40,2026-03-30T16:37,2026-03-30T15:40,2026-03-30T16:34,600,COMPLETED,0,none
52,BF1052,GRU,MCP,PR-BFY15,2025-11-08T14:01,2025-11-08T17:30,2025-11-08T15:13,2025-11-08T18:42,2800,COMPLETED,72,weather
53,BF1053,NAT,MAO,PR-BFY18,2026-05-27T16:13,2026-05-27T18:50,2026-05-27T16:13,2026-05-27T18:53,2000,COMPLETED,0,none
54,BF1054,MCP,POA,PR-BFY04,2025-07-01T07:11,2025-07-01T11:47,2025-07-01T07:11,2025-07-01T11:55,3500,COMPLETED,0,none
55,BF1055,SLZ,BVB,PR-BFY12,2025-11-28T05:55,2025-11-28T08:24,2025-11-28T05:55,2025-11-28T08:27,2000,COMPLETED,0,none
56,BF1056,BVB,MCP,PR-BFY07,2025-08-03T08:08,2025-08-03T09:42,2025-08-03T08:08,2025-08-03T09:44,1200,COMPLETED,0,none
57,BF1057,BEL,SLZ,PR-BFY20,2026-02-11T07:43,2026-02-11T10:30,2026-02-11T07:43,2026-02-11T10:30,2000,COMPLETED,0,none
58,BF1058,SDU,MCP,PR-BFY20,2025-10-29T10:56,2025-10-29T14:42,2025-10-29T11:26,2025-10-29T15:15,2800,COMPLETED,30,atc
59,BF1059,FOR,CNF,PR-BFY05,2026-01-22T16:15,2026-01-22T18:42,2026-01-22T18:56,2026-01-22T21:21,1800,COMPLETED,161,operational
60,BF1060,MAO,MCP,PR-BFY05,2026-03-27T17:09,2026-03-27T18:58,2026-03-27T17:09,2026-03-27T18:57,1200,COMPLETED,85,weather
61,BF1061,GYN,SDU,PR-BFY09,2026-01-21T13:02,2026-01-21T14:25,,,900,CANCELLED,230,crew
62,BF1062,MCZ,NVT,PR-BFY09,2026-03-01T04:36,2026-03-01T08:10,2026-03-01T04:36,2026-03-01T08:07,2800,COMPLETED,218,weather
63,BF1063,THE,PMW,PR-BFY03,2026-02-24T17:59,2026-02-24T20:33,2026-02-24T17:59,2026-02-24T20:28,2000,COMPLETED,0,none
64,BF1064,SLZ,IGU,PR-BFY07,2026-02-16T20:23,2026-02-17T00:10,2026-02-16T22:54,2026-02-17T02:49,2800,COMPLETED,151,weather
65,BF1065,SSA,CGB,PR-BFY11,2026-01-22T02:28,2026-01-22T04:51,2026-01-22T05:03,2026-01-22T07:36,1700,COMPLETED,155,operational
66,BF1066,RBR,AJU,PR-BFY06,2025-07-06T06:00,2025-07-06T08:21,,,2000,CANCELLED,215,weather
67,BF1067,IGU,SSA,PR-BFY10,2025-06-01T11:48,2025-06-01T15:38,2025-06-01T11:48,2025-06-01T15:37,2800,COMPLETED,0,none
68,BF1068,CNF,RBR,PR-BFY06,2025-12-17T12:50,2025-12-17T16:12,2025-12-17T12:50,2025-12-17T16:18,2800,COMPLETED,0,none
69,BF1069,CGH,NVT,PR-BFY04,2026-01-09T11:09,2026-01-09T12:22,2026-01-09T11:09,2026-01-09T12:19,800,COMPLETED,0,none
70,BF1070,GRU,GYN,PR-BFY01,2026-05-14T04:48,2026-05-14T05:47,2026-05-14T06:00,2026-05-14T07:08,900,COMPLETED,72,mechanical
71,BF1071,GRU,SLZ,PR-BFY08,2026-02-06T04:23,2026-02-06T06:54,2026-02-06T08:18,2026-02-06T10:48,1800,COMPLETED,235,mechanical
72,BF1072,FLN,VCP,PR-BFY05,2025-08-14T14:02,2025-08-14T14:55,2025-08-14T18:02,2025-08-14T19:02,800,COMPLETED,240,operational
73,BF1073,MCZ,THE,PR-BFY15,2025-09-13T00:32,2025-09-13T01:09,2025-09-13T00:32,2025-09-13T01:09,600,COMPLETED,0,none
74,BF1074,POA,MAO,PR-BFY07,2025-11-03T03:24,2025-11-03T07:56,2025-11-03T03:24,2025-11-03T08:05,3500,COMPLETED,0,none
75,BF1075,VCP,PMW,PR-BFY12,2025-08-13T03:45,2025-08-13T07:09,2025-08-13T03:45,2025-08-13T07:16,2800,COMPLETED,0,none
76,BF1076,NVT,CWB,PR-BFY01,2025-09-10T19:42,2025-09-10T20:16,2025-09-10T20:18,2025-09-10T20:56,500,COMPLETED,36,operational
77,BF1077,BVB,RBR,PR-BFY10,2026-01-06T15:42,2026-01-06T17:08,2026-01-06T15:42,2026-01-06T17:15,1200,COMPLETED,0,none
78,BF1078,MCZ,CGH,PR-BFY17,2025-11-22T06:47,2025-11-22T09:07,2025-11-22T06:47,2025-11-22T09:04,1800,COMPLETED,0,none
79,BF1079,RBR,GRU,PR-BFY12,2026-02-18T22:38,2026-02-19T02:27,2026-02-18T22:38,2026-02-19T02:35,2800,COMPLETED,114,operational
80,BF1080,FOR,THE,PR-BFY01,2025-10-04T19:22,2025-10-04T20:21,2025-10-04T19:22,2025-10-04T20:18,600,COMPLETED,0,none
81,BF1081,NAT,VCP,PR-BFY17,2025-06-11T01:03,2025-06-11T03:16,2025-06-11T01:03,2025-06-11T03:23,1800,COMPLETED,30,atc
82,BF1082,CGR,AJU,PR-BFY18,2026-05-31T20:27,2026-05-31T22:48,2026-05-31T20:27,2026-05-31T22:45,1700,COMPLETED,0,none
83,BF1083,FOR,MCZ,PR-BFY05,2025-09-20T04:17,2025-09-20T05:00,2025-09-20T04:52,2025-09-20T05:36,600,COMPLETED,35,weather
84,BF1084,FOR,CWB,PR-BFY10,2026-03-12T12:31,2026-03-12T16:09,2026-03-12T12:31,2026-03-12T16:06,2800,COMPLETED,0,none
85,BF1085,THE,NVT,PR-BFY10,2025-11-21T18:29,2025-11-21T21:50,2025-11-21T20:35,2025-11-21T23:52,2800,COMPLETED,126,crew
86,BF1086,AJU,MAO,PR-BFY16,2025-10-06T21:38,2025-10-07T00:01,2025-10-06T21:38,2025-10-07T00:01,2000,COMPLETED,50,weather
87,BF1087,POA,FOR,PR-BFY04,2025-12-06T18:40,2025-12-06T22:05,2025-12-06T18:40,2025-12-06T22:08,2800,COMPLETED,0,none
88,BF1088,MAO,PMW,PR-BFY09,2025-06-22T09:02,2025-06-22T10:32,2025-06-22T09:02,2025-06-22T10:29,1200,COMPLETED,0,none
89,BF1089,THE,NAT,PR-BFY19,2025-07-27T02:53,2025-07-27T03:43,2025-07-27T02:53,2025-07-27T03:53,600,COMPLETED,0,none
90,BF1090,CNF,FLN,PR-BFY08,2025-09-23T13:11,2025-09-23T14:09,2025-09-23T13:11,2025-09-23T14:07,800,COMPLETED,0,none
91,BF1091,SLZ,REC,PR-BFY16,2025-06-02T20:53,2025-06-02T21:29,2025-06-02T20:53,2025-06-02T21:25,600,COMPLETED,0,none
92,BF1092,POA,NVT,PR-BFY08,2025-09-18T06:55,2025-09-18T07:27,2025-09-18T06:55,2025-09-18T07:35,500,COMPLETED,0,none
93,BF1093,CWB,GYN,PR-BFY19,2026-03-31T02:36,2026-03-31T04:32,2026-03-31T02:36,2026-03-31T04:29,1300,COMPLETED,0,none
94,BF1094,POA,GIG,PR-BFY03,2025-07-09T08:30,2025-07-09T09:25,2025-07-09T08:30,2025-07-09T09:32,800,COMPLETED,147,atc
95,BF1095,RBR,IGU,PR-BFY01,2025-12-23T13:40,2025-12-23T18:16,2025-12-23T13:40,2025-12-23T18:25,3500,COMPLETED,0,none
96,BF1096,POA,BSB,PR-BFY15,2025-12-30T07:59,2025-12-30T09:44,2025-12-30T07:59,2025-12-30T09:46,1300,COMPLETED,0,none
97,BF1097,POA,JPA,PR-BFY05,2026-05-26T06:06,2026-05-26T09:50,2026-05-26T06:06,2026-05-26T09:52,2800,COMPLETED,0,none
98,BF1098,GRU,IGU,PR-BFY11,2025-06-18T09:51,2025-06-18T10:48,2025-06-18T09:51,2025-06-18T10:43,800,COMPLETED,0,none
99,BF1099,GRU,BEL,PR-BFY17,2026-03-01T23:52,2026-03-02T03:39,2026-03-01T23:52,2026-03-02T03:40,2800,COMPLETED,0,none
100,BF1100,GYN,IGU,PR-BFY02,2026-05-25T06:49,2026-05-25T08:46,2026-05-25T06:49,2026-05-25T08:43,1300,COMPLETED,51,weather
101,BF1101,PMW,GYN,PR-BFY19,2026-03-28T18:41,2026-03-28T21:23,2026-03-28T18:41,2026-03-28T21:20,2000,COMPLETED,0,none
102,BF1102,GIG,FOR,PR-BFY14,2025-09-06T05:19,2025-09-06T07:44,2025-09-06T05:19,2025-09-06T07:40,1800,COMPLETED,0,none
103,BF1103,AJU,SDU,PR-BFY11,2025-11-20T09:53,2025-11-20T12:07,2025-11-20T09:53,2025-11-20T12:14,1800,COMPLETED,95,crew
104,BF1104,CWB,SSA,PR-BFY05,2025-12-16T00:46,2025-12-16T04:13,2025-12-16T01:52,2025-12-16T05:17,2800,COMPLETED,66,weather
105,BF1105,GIG,BSB,PR-BFY15,2026-04-24T08:44,2026-04-24T09:55,2026-04-24T09:29,2026-04-24T10:41,900,COMPLETED,45,operational
106,BF1106,CGR,SSA,PR-BFY20,2025-12-10T23:20,2025-12-11T01:44,2025-12-10T23:20,2025-12-11T01:48,1700,COMPLETED,55,mechanical
107,BF1107,CGH,GYN,PR-BFY17,2026-01-25T16:36,2026-01-25T17:37,2026-01-25T16:36,2026-01-25T17:44,900,COMPLETED,78,weather
108,BF1108,CGH,THE,PR-BFY15,2026-01-04T14:37,2026-01-04T16:50,2026-01-04T14:37,2026-01-04T16:57,1800,COMPLETED,0,none
109,BF1109,FOR,MAO,PR-BFY04,2025-11-29T22:29,2025-11-30T00:52,2025-11-29T22:29,2025-11-30T00:51,2000,COMPLETED,0,none
110,BF1110,GRU,VCP,PR-BFY19,2025-11-09T20:46,2025-11-09T21:10,2025-11-09T22:43,2025-11-09T23:04,400,COMPLETED,117,atc
111,BF1111,NAT,CGB,PR-BFY05,2025-07-25T14:29,2025-07-25T16:26,2025-07-25T14:29,2025-07-25T16:35,1700,COMPLETED,0,none
112,BF1112,VCP,PMW,PR-BFY13,2026-01-28T10:15,2026-01-28T13:38,2026-01-28T12:28,2026-01-28T15:59,2800,COMPLETED,133,weather
113,BF1113,SSA,GRU,PR-BFY09,2026-03-06T16:40,2026-03-06T19:06,2026-03-06T16:40,2026-03-06T19:06,1800,COMPLETED,0,none
114,BF1114,CGB,SSA,PR-BFY16,2025-09-17T05:31,2025-09-17T07:29,2025-09-17T05:31,2025-09-17T07:33,1700,COMPLETED,0,none
115,BF1115,NVT,PMW,PR-BFY17,2026-05-15T19:40,2026-05-15T23:53,2026-05-15T21:33,2026-05-16T01:47,3500,COMPLETED,113,weather
116,BF1116,GYN,AJU,PR-BFY12,2025-06-15T05:18,2025-06-15T07:27,2025-06-15T05:18,2025-06-15T07:37,1700,COMPLETED,0,none
117,BF1117,PMW,NAT,PR-BFY01,2026-01-21T04:26,2026-01-21T06:58,2026-01-21T04:47,2026-01-21T07:21,2000,COMPLETED,21,operational
118,BF1118,RBR,BEL,PR-BFY19,2025-12-22T13:39,2025-12-22T15:00,2025-12-22T13:39,2025-12-22T15:06,1200,COMPLETED,0,none
119,BF1119,GYN,CNF,PR-BFY08,2025-08-12T21:58,2025-08-12T23:02,2025-08-12T21:58,2025-08-12T22:58,900,COMPLETED,0,none
120,BF1120,NAT,RBR,PR-BFY06,2026-03-10T20:10,2026-03-10T22:41,2026-03-10T20:10,2026-03-10T22:41,2000,COMPLETED,0,none
121,BF1121,GYN,JPA,PR-BFY12,2026-01-18T13:31,2026-01-18T15:53,2026-01-18T13:31,2026-01-18T15:48,1700,COMPLETED,0,none
122,BF1122,NAT,JPA,PR-BFY18,2025-09-12T11:25,2025-09-12T12:18,2025-09-12T11:25,2025-09-12T12:28,600,COMPLETED,0,none
123,BF1123,CGR,CNF,PR-BFY17,2026-05-24T02:59,2026-05-24T03:57,2026-05-24T04:13,2026-05-24T05:06,900,COMPLETED,74,weather
124,BF1124,SSA,GRU,PR-BFY06,2026-01-28T13:28,2026-01-28T16:02,2026-01-28T13:28,2026-01-28T16:07,1800,COMPLETED,0,none
125,BF1125,PMW,BEL,PR-BFY04,2026-01-22T15:07,2026-01-22T16:28,2026-01-22T15:07,2026-01-22T16:27,1200,COMPLETED,165,weather
126,BF1126,BVB,REC,PR-BFY11,2026-02-21T16:54,2026-02-21T19:44,2026-02-21T16:54,2026-02-21T19:51,2000,COMPLETED,195,weather
127,BF1127,CGR,POA,PR-BFY11,2025-09-08T08:39,2025-09-08T10:11,2025-09-08T08:39,2025-09-08T10:21,1300,COMPLETED,0,none
128,BF1128,CNF,SLZ,PR-BFY10,2026-02-15T19:58,2026-02-15T22:10,2026-02-15T19:58,2026-02-15T22:17,1800,COMPLETED,0,none
129,BF1129,SLZ,THE,PR-BFY19,2026-01-01T11:03,2026-01-01T11:42,2026-01-01T11:03,2026-01-01T11:49,600,COMPLETED,15,atc
130,BF1130,CGH,BSB,PR-BFY16,2026-01-18T17:14,2026-01-18T18:40,2026-01-18T17:14,2026-01-18T18:38,900,COMPLETED,0,none
131,BF1131,SDU,POA,PR-BFY11,2025-07-27T15:46,2025-07-27T16:43,2025-07-27T15:46,2025-07-27T16:40,800,COMPLETED,0,none
132,BF1132,IGU,GRU,PR-BFY01,2025-12-11T02:55,2025-12-11T03:51,2025-12-11T03:27,2025-12-11T04:21,800,COMPLETED,32,crew
133,BF1133,CGH,NVT,PR-BFY16,2026-04-16T02:27,2026-04-16T03:40,2026-04-16T02:27,2026-04-16T03:48,800,COMPLETED,0,none
134,BF1134,RBR,FLN,PR-BFY06,2026-02-11T18:12,2026-02-11T22:41,2026-02-11T18:12,2026-02-11T22:43,3500,COMPLETED,0,none
135,BF1135,IGU,VCP,PR-BFY11,2025-06-25T07:55,2025-06-25T08:54,2025-06-25T07:55,2025-06-25T08:51,800,COMPLETED,81,weather
136,BF1136,CNF,PMW,PR-BFY11,2026-03-01T09:36,2026-03-01T13:01,2026-03-01T09:36,2026-03-01T12:58,2800,COMPLETED,0,none
137,BF1137,JPA,MCZ,PR-BFY04,2026-05-18T12:26,2026-05-18T13:23,2026-05-18T15:28,2026-05-18T16:33,600,COMPLETED,182,weather
138,BF1138,CWB,BSB,PR-BFY10,2025-10-17T08:12,2025-10-17T09:52,2025-10-17T08:12,2025-10-17T09:55,1300,COMPLETED,0,none
139,BF1139,CGR,GYN,PR-BFY05,2025-08-09T20:15,2025-08-09T20:58,2025-08-09T20:15,2025-08-09T21:08,700,COMPLETED,0,none
140,BF1140,CGH,FLN,PR-BFY01,2025-06-03T18:40,2025-06-03T19:43,2025-06-03T22:25,2025-06-03T23:38,800,COMPLETED,225,weather
141,BF1141,BSB,CNF,PR-BFY16,2025-12-30T11:46,2025-12-30T12:45,2025-12-30T11:46,2025-12-30T12:52,900,COMPLETED,0,none
142,BF1142,SSA,PMW,PR-BFY13,2025-12-10T23:17,2025-12-11T01:39,2025-12-10T23:17,2025-12-11T01:45,2000,COMPLETED,0,none
143,BF1143,POA,CNF,PR-BFY19,2026-04-21T14:29,2026-04-21T15:20,2026-04-21T16:43,2026-04-21T17:37,800,COMPLETED,134,crew
144,BF1144,CGH,CNF,PR-BFY19,2025-08-10T10:00,2025-08-10T10:22,2025-08-10T10:00,2025-08-10T10:30,400,COMPLETED,0,none
145,BF1145,GYN,NAT,PR-BFY19,2025-07-15T09:46,2025-07-15T12:09,2025-07-15T09:46,2025-07-15T12:19,1700,COMPLETED,0,none
146,BF1146,RBR,GYN,PR-BFY15,2026-05-13T19:17,2026-05-13T21:46,,,2000,CANCELLED,233,weather
147,BF1147,CNF,BSB,PR-BFY07,2025-11-02T07:02,2025-11-02T08:24,2025-11-02T07:27,2025-11-02T08:57,900,COMPLETED,25,atc
148,BF1148,MCP,MCZ,PR-BFY03,2025-09-16T16:21,2025-09-16T19:07,2025-09-16T16:21,2025-09-16T19:04,2000,COMPLETED,0,none
149,BF1149,FLN,NAT,PR-BFY20,2026-03-17T08:16,2026-03-17T11:53,2026-03-17T09:41,2026-03-17T13:13,2800,COMPLETED,85,operational
150,BF1150,NAT,REC,PR-BFY04,2026-04-02T12:56,2026-04-02T13:34,2026-04-02T12:56,2026-04-02T13:32,600,COMPLETED,0,none
151,BF1151,NAT,BEL,PR-BFY09,2025-08-13T12:56,2025-08-13T15:41,2025-08-13T12:56,2025-08-13T15:49,2000,COMPLETED,152,operational
152,BF1152,FLN,AJU,PR-BFY13,2026-05-20T14:12,2026-05-20T17:50,2026-05-20T14:12,2026-05-20T17:53,2800,COMPLETED,0,none
153,BF1153,SDU,MCZ,PR-BFY02,2026-03-20T12:33,2026-03-20T14:39,2026-03-20T12:33,2026-03-20T14:41,1800,COMPLETED,0,none
154,BF1154,SLZ,SSA,PR-BFY10,2025-12-13T13:51,2025-12-13T14:54,2025-12-13T13:51,2025-12-13T14:58,600,COMPLETED,0,none
155,BF1155,CGB,BVB,PR-BFY05,2026-05-24T23:40,2026-05-25T02:27,2026-05-24T23:40,2026-05-25T02:29,2000,COMPLETED,0,none
156,BF1156,CGR,MAO,PR-BFY20,2026-04-19T15:55,2026-04-19T18:39,2026-04-19T15:55,2026-04-19T18:47,2000,COMPLETED,0,none
157,BF1157,MCZ,VCP,PR-BFY12,2025-10-15T20:24,2025-10-15T22:43,2025-10-16T00:09,2025-10-16T02:38,1800,COMPLETED,225,atc
158,BF1158,MCP,CGH,PR-BFY06,2025-09-24T18:14,2025-09-24T21:36,2025-09-24T20:38,2025-09-24T23:55,2800,COMPLETED,144,operational
159,BF1159,BSB,PMW,PR-BFY07,2025-10-25T03:57,2025-10-25T06:43,2025-10-25T04:20,2025-10-25T07:12,2000,COMPLETED,23,weather
160,BF1160,CGB,FLN,PR-BFY08,2026-05-05T00:48,2026-05-05T02:31,2026-05-05T00:48,2026-05-05T02:26,1300,COMPLETED,0,none
161,BF1161,POA,REC,PR-BFY12,2026-04-21T20:13,2026-04-21T23:38,2026-04-21T20:13,2026-04-21T23:44,2800,COMPLETED,0,none
162,BF1162,CNF,BVB,PR-BFY13,2025-12-06T08:24,2025-12-06T12:07,2025-12-06T08:24,2025-12-06T12:02,2800,COMPLETED,0,none
163,BF1163,CGH,BSB,PR-BFY14,2025-11-04T01:29,2025-11-04T02:53,2025-11-04T02:41,2025-11-04T04:08,900,COMPLETED,72,atc
164,BF1164,REC,GRU,PR-BFY08,2025-06-07T11:30,2025-06-07T13:50,2025-06-07T11:30,2025-06-07T13:45,1800,COMPLETED,0,none
165,BF1165,CGB,MCZ,PR-BFY13,2026-01-09T10:17,2026-01-09T12:36,2026-01-09T10:17,2026-01-09T12:44,1700,COMPLETED,0,none
166,BF1166,BVB,POA,PR-BFY19,2026-05-01T05:34,2026-05-01T09:54,2026-05-01T07:06,2026-05-01T11:33,3500,COMPLETED,92,atc
167,BF1167,GIG,GRU,PR-BFY04,2026-02-28T12:08,2026-02-28T12:45,2026-02-28T12:08,2026-02-28T12:49,400,COMPLETED,0,none
168,BF1168,SSA,VCP,PR-BFY10,2026-01-31T20:58,2026-01-31T23:11,2026-01-31T20:58,2026-01-31T23:14,1800,COMPLETED,0,none
169,BF1169,BSB,SDU,PR-BFY05,2025-11-22T23:34,2025-11-23T00:59,2025-11-22T23:34,2025-11-23T01:06,900,COMPLETED,234,weather
170,BF1170,SLZ,GRU,PR-BFY19,2026-05-29T04:13,2026-05-29T06:27,2026-05-29T06:15,2026-05-29T08:25,1800,COMPLETED,122,crew
171,BF1171,THE,NAT,PR-BFY12,2025-10-17T07:00,2025-10-17T07:45,2025-10-17T07:00,2025-10-17T07:55,600,COMPLETED,0,none
